index,protID,geneID,geneName,
272,P41220,ENSG00000116741,RGS2,
273,P41180,ENSG00000036828,CASR,
274,P00533,ENSG00000146648,EGFR,
275,Q9NQ66,ENSG00000182621,PLCB1,
276,Q13255,ENSG00000152822,GRM1,
277,Q15139,ENSG00000184304,PRKD1,
278,Q13813,ENSG00000197694,SPTAN1,
279,P29966,ENSG00000277443,MARCKS,
280,Q96D31,ENSG00000276045,ORAI1,
281,P11171,ENSG00000159023,EPB41,
282,P98082,ENSG00000153071,DAB2,
283,P04049,ENSG00000132155,RAF1,
284,Q14469,ENSG00000114315,HES1,
285,P14136,ENSG00000131095,GFAP,
286,Q16236,ENSG00000116044,NFE2L2,
287,P68104,ENSG00000156508,EEF1A1,
288,P15172,ENSG00000129152,MYOD1,
289,Q14344,ENSG00000120063,GNA13,
290,P06748,ENSG00000181163,NPM1,
291,P31749,ENSG00000142208,AKT1,
292,O60346,ENSG00000081913,PHLPP1,
293,P35637,ENSG00000089280,FUS,
294,P06400,ENSG00000139687,RB1,
295,P08581,ENSG00000105976,MET,
296,P05783,ENSG00000111057,KRT18,
297,P49768,ENSG00000080815,PSEN1,
298,Q02742,ENSG00000187210,GCNT1,
299,P05107,ENSG00000160255,ITGB2,
300,P30411,ENSG00000168398,BDKRB2,
301,P06730,ENSG00000151247,EIF4E,
302,P06213,ENSG00000171105,INSR,
303,P10721,ENSG00000157404,KIT,
304,P11473,ENSG00000111424,VDR,
305,O15350,ENSG00000078900,TP73,
306,P05114,ENSG00000205581,HMGN1,
307,P17844,ENSG00000108654,DDX5,
308,Q16659,ENSG00000069956,MAPK6,
309,Q15831,ENSG00000118046,STK11,
310,P62136,ENSG00000172531,PPP1CA,
311,P67775,ENSG00000113575,PPP2CA,
312,O15530,ENSG00000140992,PDPK1,
313,P53004,ENSG00000106605,BLVRA,
314,P30086,ENSG00000089220,PEBP1,
315,P08183,ENSG00000085563,ABCB1,
316,P11388,ENSG00000131747,TOP2A,
317,O15519,ENSG00000003402,CFLAR,
318,P40763,ENSG00000168610,STAT3,
319,P02545,ENSG00000160789,LMNA,
320,Q9BXL7,ENSG00000198286,CARD11,
321,P15336,ENSG00000115966,ATF2,
322,P19438,ENSG00000067182,TNFRSF1A,
323,O14641,ENSG00000004975,DVL2,
324,Q15121,ENSG00000162734,PEA15,
325,P34932,ENSG00000170606,HSPA4,
326,P29972,ENSG00000240583,AQP1,
327,Q8WV44,ENSG00000146063,TRIM41,
328,P13796,ENSG00000136167,LCP1,
329,Q12906,ENSG00000129351,ILF3,
330,P48736,ENSG00000105851,PIK3CG,
331,Q16658,ENSG00000075618,FSCN1,
332,P16070,ENSG00000026508,CD44,
333,P01589,ENSG00000134460,IL2RA,
334,Q9BYM8,ENSG00000125826,RBCK1,
